"","subject","source","target","sent_date","sent_time","type"
"14","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Vira.Frente@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"15","2516-00 openhole logging results","Felix.Balas@gastech.com.kronos","Adra.Nubarron@gastech.com.kronos","2014-01-17","01:24:00 PM","Work related"
"16","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Gustav.Cazar@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"17","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Elsa.Orilla@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"18","2516-00 openhole logging results","Felix.Balas@gastech.com.kronos","Kare.Orilla@gastech.com.kronos","2014-01-17","01:24:00 PM","Work related"
"19","2516-00 openhole logging results","Felix.Balas@gastech.com.kronos","Marin.Onda@gastech.com.kronos","2014-01-17","01:24:00 PM","Work related"
"20","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Isande.Borrasca@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"21","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Kare.Orilla@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"22","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Lidelse.Dedos@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"23","2516-00 openhole logging results","Felix.Balas@gastech.com.kronos","Elsa.Orilla@gastech.com.kronos","2014-01-17","01:24:00 PM","Work related"
"24","2516-00 openhole logging results","Felix.Balas@gastech.com.kronos","Isande.Borrasca@gastech.com.kronos","2014-01-17","01:24:00 PM","Work related"
"25","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Birgitta.Frente@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"26","2516-00 openhole logging results","Felix.Balas@gastech.com.kronos","Brand.Tempestad@gastech.com.kronos","2014-01-17","01:24:00 PM","Work related"
"27","2516-00 openhole logging results","Gustav.Cazar@gastech.com.kronos","Lars.Azada@gastech.com.kronos","2014-01-10","08:33:00 AM","Work related"
"28","Action: Review network logs","Nils.Calixto@gastech.com.kronos","Lucas.Alcazar@gastech.com.kronos","2014-01-14","09:50:00 AM","Work related"
"29","Action: Review network logs","Nils.Calixto@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-14","09:50:00 AM","Work related"
"30","Action: Review network logs","Nils.Calixto@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-14","09:50:00 AM","Work related"
"31","Action: Review network logs","Nils.Calixto@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-14","09:50:00 AM","Work related"
"32","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-13","12:32:00 PM","Work related"
"33","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Hennie.Osvaldo@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"34","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"35","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Minke.Mies@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"36","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Loreto.Bodrogi@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"37","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Inga.Ferro@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"38","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Loreto.Bodrogi@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"39","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-13","12:32:00 PM","Work related"
"40","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Loreto.Bodrogi@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"41","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"42","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-13","09:00:00 AM","Work related"
"43","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Inga.Ferro@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"44","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Isia.Vann@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"45","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Hennie.Osvaldo@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"46","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"47","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Hennie.Osvaldo@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"48","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Inga.Ferro@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"49","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Isia.Vann@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"50","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Isia.Vann@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"51","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Minke.Mies@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"52","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Minke.Mies@gastech.com.kronos","2014-01-14","02:33:00 PM","Work related"
"53","Action: Virus detected on your system","Linnea.Bergen@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-13","02:50:00 PM","Work related"
"54","All staff announcement","Mat.Bramar@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"55","All staff announcement","Mat.Bramar@gastech.com.kronos","Axel.Calzas@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"56","All staff announcement","Mat.Bramar@gastech.com.kronos","Ada.Campo-Corrente@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"57","All staff announcement","Mat.Bramar@gastech.com.kronos","Gustav.Cazar@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"58","All staff announcement","Mat.Bramar@gastech.com.kronos","Birgitta.Frente@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"59","All staff announcement","Mat.Bramar@gastech.com.kronos","Lars.Azada@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"60","All staff announcement","Mat.Bramar@gastech.com.kronos","Varro.Awelon@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"61","All staff announcement","Mat.Bramar@gastech.com.kronos","Carla.Forluniau@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"62","All staff announcement","Mat.Bramar@gastech.com.kronos","Dante.Coginian@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"63","All staff announcement","Mat.Bramar@gastech.com.kronos","Benito.Hawelon@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"64","All staff announcement","Mat.Bramar@gastech.com.kronos","Anda.Ribera@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"65","All staff announcement","Mat.Bramar@gastech.com.kronos","Felix.Resumir@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"66","All staff announcement","Mat.Bramar@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"67","All staff announcement","Mat.Bramar@gastech.com.kronos","Cornelia.Lais@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"68","All staff announcement","Mat.Bramar@gastech.com.kronos","Felix.Balas@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"69","All staff announcement","Mat.Bramar@gastech.com.kronos","Emile.Arpa@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"70","All staff announcement","Mat.Bramar@gastech.com.kronos","Stenig.Fusil@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"71","All staff announcement","Mat.Bramar@gastech.com.kronos","Linnea.Bergen@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"72","All staff announcement","Mat.Bramar@gastech.com.kronos","Isande.Borrasca@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"73","All staff announcement","Mat.Bramar@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"74","All staff announcement","Mat.Bramar@gastech.com.kronos","Bertrand.Ovan@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"75","All staff announcement","Mat.Bramar@gastech.com.kronos","Kare.Orilla@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"76","All staff announcement","Mat.Bramar@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"77","All staff announcement","Mat.Bramar@gastech.com.kronos","Brand.Tempestad@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"78","All staff announcement","Mat.Bramar@gastech.com.kronos","Loreto.Bodrogi@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"79","All staff announcement","Mat.Bramar@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"80","All staff announcement","Mat.Bramar@gastech.com.kronos","Elsa.Orilla@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"81","All staff announcement","Mat.Bramar@gastech.com.kronos","Cecilia.Morluniau@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"82","All staff announcement","Mat.Bramar@gastech.com.kronos","Vira.Frente@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"83","All staff announcement","Mat.Bramar@gastech.com.kronos","Lidelse.Dedos@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"84","All staff announcement","Mat.Bramar@gastech.com.kronos","Irene.Nant@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"85","All staff announcement","Mat.Bramar@gastech.com.kronos","Albina.Hafon@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"86","All staff announcement","Mat.Bramar@gastech.com.kronos","Claudio.Hawelon@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"87","All staff announcement","Mat.Bramar@gastech.com.kronos","Hennie.Osvaldo@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"88","All staff announcement","Mat.Bramar@gastech.com.kronos","Willem.Vasco-Pais@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"89","All staff announcement","Mat.Bramar@gastech.com.kronos","Edvard.Vann@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"90","All staff announcement","Mat.Bramar@gastech.com.kronos","Henk.Mies@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"91","All staff announcement","Mat.Bramar@gastech.com.kronos","Dylan.Scozzese@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"92","All staff announcement","Mat.Bramar@gastech.com.kronos","Sten.Sanjorge Jr.@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"93","All staff announcement","Mat.Bramar@gastech.com.kronos","Kanon.Herrero@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"94","All staff announcement","Mat.Bramar@gastech.com.kronos","Mat.Bramar@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"95","All staff announcement","Mat.Bramar@gastech.com.kronos","Inga.Ferro@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"96","All staff announcement","Mat.Bramar@gastech.com.kronos","Adan.Morlun@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"97","All staff announcement","Mat.Bramar@gastech.com.kronos","Marin.Onda@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"98","All staff announcement","Mat.Bramar@gastech.com.kronos","Hideki.Cocinaro@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"99","All staff announcement","Mat.Bramar@gastech.com.kronos","Ingrid.Barranco@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"100","All staff announcement","Mat.Bramar@gastech.com.kronos","Minke.Mies@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"101","All staff announcement","Mat.Bramar@gastech.com.kronos","Adra.Nubarron@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"102","All staff announcement","Mat.Bramar@gastech.com.kronos","Valeria.Morlun@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"103","All staff announcement","Mat.Bramar@gastech.com.kronos","Lucas.Alcazar@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"104","All staff announcement","Mat.Bramar@gastech.com.kronos","Varja.Lagos@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"105","All staff announcement","Mat.Bramar@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"106","All staff announcement","Mat.Bramar@gastech.com.kronos","Orhan.Strum@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"107","All staff announcement","Mat.Bramar@gastech.com.kronos","Isia.Vann@gastech.com.kronos","2014-01-06","03:42:00 PM","Work related"
"108","Anyone have a spare monitor?","Lucas.Alcazar@gastech.com.kronos","Lucas.Alcazar@gastech.com.kronos","2014-01-08","09:48:00 AM","Work related"
"109","Anyone have a spare monitor?","Lucas.Alcazar@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-08","09:48:00 AM","Work related"
"110","Anyone have a spare monitor?","Lucas.Alcazar@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-08","09:48:00 AM","Work related"
"111","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Anda.Ribera@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"112","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"113","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Mat.Bramar@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"114","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"115","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"116","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Carla.Forluniau@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"117","Anyone have time to help on a project?","Carla.Forluniau@gastech.com.kronos","Cornelia.Lais@gastech.com.kronos","2014-01-13","12:09:00 PM","Work related"
"118","Anyone have time to help troubleshoot some software?","Nils.Calixto@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-10","01:24:00 PM","Work related"
"119","Anyone have time to help troubleshoot some software?","Isak.Baza@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-16","01:54:00 PM","Work related"
"120","Anyone have time to help troubleshoot some software?","Nils.Calixto@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-10","01:24:00 PM","Work related"
"121","Anyone have time to help troubleshoot some software?","Isak.Baza@gastech.com.kronos","Lucas.Alcazar@gastech.com.kronos","2014-01-16","01:54:00 PM","Work related"
"122","Anyone have time to help troubleshoot some software?","Isak.Baza@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-16","01:54:00 PM","Work related"
"123","Are you buying coffee?","Birgitta.Frente@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-15","01:45:00 PM","Non-work related"
"124","Are you buying coffee?","Claudio.Hawelon@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-06","03:14:00 PM","Non-work related"
"125","Are you buying coffee?","Benito.Hawelon@gastech.com.kronos","Felix.Resumir@gastech.com.kronos","2014-01-17","09:23:00 AM","Non-work related"
"126","Article - interesting","Lucas.Alcazar@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-14","03:48:00 PM","Non-work related"
"127","Article - interesting","Isak.Baza@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-17","09:32:00 AM","Non-work related"
"128","Article - interesting","Lucas.Alcazar@gastech.com.kronos","Lucas.Alcazar@gastech.com.kronos","2014-01-14","03:48:00 PM","Non-work related"
"129","Article - interesting","Isak.Baza@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-17","09:32:00 AM","Non-work related"
"130","Article - interesting","Isak.Baza@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-17","09:32:00 AM","Non-work related"
"131","Awwww- cute!","Stenig.Fusil@gastech.com.kronos","Varja.Lagos@gastech.com.kronos","2014-01-08","11:31:00 AM","Non-work related"
"132","Awwww- cute!","Vira.Frente@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-17","02:39:00 PM","Non-work related"
"133","Awwww- cute!","Isia.Vann@gastech.com.kronos","Claudio.Hawelon@gastech.com.kronos","2014-01-09","11:51:00 AM","Non-work related"
"134","Awwww- cute!","Minke.Mies@gastech.com.kronos","Adra.Nubarron@gastech.com.kronos","2014-01-10","12:52:00 PM","Non-work related"
"135","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Carla.Forluniau@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"136","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Anda.Ribera@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"137","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Anda.Ribera@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"138","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"139","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Anda.Ribera@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"140","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Cornelia.Lais@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"141","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"142","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"143","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"144","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Mat.Bramar@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"145","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"146","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"147","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Carla.Forluniau@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"148","Babysitting recommendations","Carla.Forluniau@gastech.com.kronos","Mat.Bramar@gastech.com.kronos","2014-01-17","12:42:00 PM","Non-work related"
"149","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Carla.Forluniau@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"150","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"151","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"152","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Cornelia.Lais@gastech.com.kronos","2014-01-08","09:00:00 AM","Non-work related"
"153","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Mat.Bramar@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"154","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Cornelia.Lais@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"155","Babysitting recommendations","Linda.Lagos@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-14","12:35:00 PM","Non-work related"
"156","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Varro.Awelon@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"157","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Benito.Hawelon@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"158","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Emile.Arpa@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"159","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Emile.Arpa@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"160","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Varro.Awelon@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"161","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Albina.Hafon@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"162","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Cecilia.Morluniau@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"163","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Dylan.Scozzese@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"164","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Dante.Coginian@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"165","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Albina.Hafon@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"166","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Dylan.Scozzese@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"167","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Cecilia.Morluniau@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"168","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Claudio.Hawelon@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"169","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Dante.Coginian@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"170","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Henk.Mies@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"171","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Valeria.Morlun@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"172","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Irene.Nant@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"173","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Irene.Nant@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"174","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Benito.Hawelon@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"175","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Valeria.Morlun@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"176","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Adan.Morlun@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"177","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Henk.Mies@gastech.com.kronos","2014-01-14","12:22:00 PM","Work related"
"178","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Claudio.Hawelon@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"179","Be Careful!","Bertrand.Ovan@gastech.com.kronos","Adan.Morlun@gastech.com.kronos","2014-01-07","03:50:00 PM","Work related"
"180","Can anyone swap on-call slots with me?","Lucas.Alcazar@gastech.com.kronos","Isak.Baza@gastech.com.kronos","2014-01-09","10:23:00 AM","Work related"
"181","Can anyone swap on-call slots with me?","Lucas.Alcazar@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-09","10:23:00 AM","Work related"
"182","Can anyone swap on-call slots with me?","Lucas.Alcazar@gastech.com.kronos","Sven.Flecha@gastech.com.kronos","2014-01-09","10:23:00 AM","Work related"
"183","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Cornelia.Lais@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"184","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Carla.Forluniau@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"185","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Ruscella.Mies.Haber@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"186","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Linda.Lagos@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"187","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Mat.Bramar@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"188","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Anda.Ribera@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"189","Can someone cover for me next week?","Cornelia.Lais@gastech.com.kronos","Rachel.Pantanal@gastech.com.kronos","2014-01-07","02:21:00 PM","Work related"
"190","Can someone verify this behavior?","Isak.Baza@gastech.com.kronos","Nils.Calixto@gastech.com.kronos","2014-01-14","12:46:00 PM","Work related"
